Removed Pin From Net: NetName=Commande_Ventilo Pin=K4-1
Change Component Comment : Designator=R10 Old Comment=0R New Comment=NC
Change Component Comment : Designator=K4 Old Comment=MC74VHC1G08DBVT1G-Q New Comment=74LVC1G125GV_125
Change component parameters: Designator = "K4" ("K4"); Footprint = "SOT95P275X110-5N"; UniqueID = "\JCXWWKQO\KDABFPUR" ("\JCXWWKQO\KDABFPUR")
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.mouser.com/catalog/specsheets/Bourns_03252021_PRS11R_datasheet.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Geometry.Height"; Value = "21.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Bourns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "PRS11R-425F-S103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "652-PRS11R425FS103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Bourns/PRS11R-425F-S103B1?qs=IS%252B4QmGtzzo6M96CSwnBdQ%3D%3D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "118-PRS11R-425F-S103B1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "652-PRS11R425FS103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Price 1"; Value = "3.92"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7" ("R7"); Footprint = "PRS11R425FS103B1"; UniqueID = "\TAAOMRSG\PXVUXNUU" ("\TAAOMRSG\PXVUXNUU")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "PRS11R-425F-S103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/prs11r-425f-s103b1/bourns?region=nac"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.mouser.com/catalog/specsheets/Bourns_03252021_PRS11R_datasheet.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Geometry.Height"; Value = "21.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Bourns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "PRS11R-425F-S103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "652-PRS11R425FS103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Bourns/PRS11R-425F-S103B1?qs=IS%252B4QmGtzzo6M96CSwnBdQ%3D%3D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "118-PRS11R-425F-S103B1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "652-PRS11R425FS103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Price 1"; Value = "3.92"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8" ("R8"); Footprint = "PRS11R425FS103B1"; UniqueID = "\TAAOMRSG\FHFKPFRF" ("\TAAOMRSG\FHFKPFRF")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "PRS11R-425F-S103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/prs11r-425f-s103b1/bourns?region=nac"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.mouser.com/catalog/specsheets/Bourns_03252021_PRS11R_datasheet.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Geometry.Height"; Value = "21.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Bourns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "PRS11R-425F-S103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "652-PRS11R425FS103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Bourns/PRS11R-425F-S103B1?qs=IS%252B4QmGtzzo6M96CSwnBdQ%3D%3D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "118-PRS11R-425F-S103B1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "652-PRS11R425FS103B1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Price 1"; Value = "3.92"; VariantName = "[No Variations]"
Added Component: Designator=R5(TRIM_PTA4543-2015DPB103)
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 3"; Value = "Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "652-PTA45432015DPB10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "1688415"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "PTA4543-2015DPB103-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Price 1"; Value = "2.07"; VariantName = "[No Variations]"
Added Pin To Net: NetName=Commande_Ventilo Pin=K4-2
Added Pin To Net: NetName=GND Pin=R5-1
Added Pin To Net: NetName=ADC_Consigne Pin=R5-2
Added Pin To Net: NetName=3V3 Pin=R5-3
Added Pin To Net: NetName=NetK4_1 Pin=K4-1
Added Pin To Net: NetName=NetK4_1 Pin=R10-1
Added Pin To Net: NetName=NetK4_1 Pin=R12-2
Added Net: Name=NetK4_1
Added Member To Class: ClassName=Régulation Member=Component R5 PTA4543-2015DPB103
